customer_unique_id,M_total,group_label
057581e17e81bd35d08e3cdc8f79e60a,345.18,B_对照组
0577db0efc765dafeb6ff6ad59238c0e,76.00,B_对照组
0588cca7a35c8d68b0503d9ae53dee38,266.76,B_对照组
058e28fceb01698d7eefe53e8fe2ce9e,65.10,B_对照组
059253065c26a364810154b4792fd748,92.16,B_对照组
05976e2151f7efa4d1bd1bda5d378ee7,81.09,B_对照组
05a0f07d29f7001f0e98fe7093869fd7,50.69,B_对照组
05a355563b28a256026dda6056eae78b,75.65,B_对照组
05a4ccd655aab0d1303b42b3bf3418ef,107.90,B_对照组
05abd7660c793780c1907b39ce20263f,136.50,B_对照组
05b0ef4db4b270f35b932bd7157fa44c,475.97,B_对照组
05b3574712df1ac8343c7f3a6ebc6e2a,129.32,B_对照组
05b3b3ee23ee41022bac0887570c9064,81.15,B_对照组
05bc195d57fb23eee0aea9e943f01c61,75.07,B_对照组
05d1cd05687fd5153a9c244ee7052e99,296.61,B_对照组
05d1d2d9f0161c5f397ce7fc770910d4,97.42,B_对照组
05d327ae96ae69912a3fbe585516db18,335.47,B_对照组
05dc7381ace8c9b5a634129ce38dff60,504.78,B_对照组
05deb0755cb5c09fab08a1f06ed4e3f4,80.11,B_对照组
05e52c1f96f8b83dd66dcdce679ff58d,239.16,B_对照组
05eb2fca0a8ccfee8c2cbe338bb5072c,68.62,B_对照组
05eecdc8cf80e10dc84ce98e448fff8b,49.00,B_对照组
05f0509adff9a7c6e37cc5d6e5c57e8a,52.90,B_对照组
05f69b5b3c4f3fff27e0fecfabfd1418,84.62,B_对照组
05fe23124ef3295f7539875f6d054b9f,111.20,B_对照组
0601c193e5eb834eb2a069b7128e20fb,891.34,B_对照组
0608b94dd7f1fdddbe1216c453dab7de,223.01,B_对照组
060a6620369ce19e52208b3f8ab6e27e,65.71,B_对照组
060fc051abdd1173a56b173d01e98294,135.60,B_对照组
0618225b6ec3682230085167e66ada85,117.12,B_对照组
061b05d72cc6600d24bdff2d0e377f3b,114.83,B_对照组
06228f2a5c6b8d5b97c9dde4c675f086,62.83,B_对照组
06285644a5dcbd27f078ec193ef2fc72,218.35,B_对照组
0634b07cb9863a3e061e5bae9f0f1f13,107.87,B_对照组
0637b8b30ad31760ec80e9338b17fee8,180.31,B_对照组
063e563c60e718859ed7a9708d0819c1,156.09,B_对照组
063f16fb8a42f6117a739b39f11acb5f,158.38,B_对照组
06445b7b84f41be019bb45a23c972b6d,63.10,B_对照组
064ab365e1c4df2ecc60b89aae2ebafd,34.86,B_对照组
064b4e180166294e451887ff8b5a74d7,34.09,B_对照组
064dcb374e89bee36c14d918152940f2,76.19,B_对照组
065101bac8cea1e48c1b1416b816597d,104.87,B_对照组
0651d1d452e23d14caf7c7cf51f46071,406.14,B_对照组
0653512b981aee8f1afcf79c547ff3f5,103.68,B_对照组
0655191062e3fe49b0f128131c62d1ae,73.56,B_对照组
0656860092e0bf37da2f7a80df83f2d1,100.08,B_对照组
0658b6e747d2f259680c42a9a7fe6849,76.65,B_对照组
065fefa58af499bc88faec29a948752c,60.85,B_对照组
06688c85b652dcedc744636df2fdb09e,43.27,B_对照组
0669f60ef473844761d853798d3a4009,142.10,B_对照组
0671423fb05ed6ba0e594a9ceb1ca4a2,57.10,B_对照组
067fe68a7a118f91c50eb69fedb34edb,56.78,B_对照组
068a41902767c548e7ad3d372c5833c8,47.68,B_对照组
068b769463d8f41482bcd34be57ece04,265.94,B_对照组
068cee6bf82a34aab08b5f08b9af4f51,120.87,B_对照组
068d4c8ab0671a7cfe81a0ea95e5e895,315.26,B_对照组
069ee0689429b858e857a7da2a80b9a7,144.65,B_对照组
06affe57122d4135e624fa1886f4ff37,154.32,B_对照组
06b457298293c7aee65c8485874b26e6,35.77,B_对照组
06be2d25b98b45a0814bf403c25d2529,65.71,B_对照组
06c0e20a617982c7a5113459fde779a4,945.78,A_目标组
06c0ea6ee892364d1608ee47aa9f56a0,142.57,B_对照组
06c561c88ff6b8813508f972f71829d2,362.96,B_对照组
06caeb75009153db427a6098d7974115,85.14,B_对照组
06cb9de4265f5e18327a1e4608a1c85c,49.10,B_对照组
06cda0f6b654274ef36983dc027aecaa,386.66,B_对照组
06d4334ea4015768bd38c2d5531efe95,420.47,B_对照组
06d610825adb0c6137385eb866026d46,97.64,B_对照组
06d82374cfbe2ab1833779e39d91cde4,57.60,B_对照组
